accX accY accZ angRateX angRateY angRateZ magX magY magZ temp pressure attQ
-1.4129999876022339 0.9039999842643738 -9.666000366210938 -0.003541999962180853 -0.003751999931409955 0.0007810000097379088 -0.07859999686479568 -0.035599999129772186 0.5382000207901001 34.099998474121094 101.2040023803711 vec4f([ 0.055559, -0.066127, 0.949656, 0.301153 ]) No problem
-1.378999948501587 0.871999979019165 -9.722999572753906 -0.01629200018942356 0.00405400013551116 0.006012999918311834 -0.07530000060796738 -0.03799999877810478 0.53329998254776 34.099998474121094 101.1989974975586 vec4f([ 0.054978, -0.067596, 0.949389, 0.301775 ]) No problem
-1.8380000591278076 -2.13100004196167 -10.79699993133545 -1.249047040939331 -0.6479219794273376 1.0785319805145264 -0.07429999858140945 -0.0722000002861023 0.522599995136261 34.099998474121094 101.1989974975586 vec4f([ -0.094729, -0.09143, 0.97901, 0.155582 ]) No problem
8.564000129699707 2.867000102996826 5.1020002365112305 -0.6295369863510132 -3.395163059234619 0.8190370202064514 -0.4404999911785126 0.06499999761581421 0.42820000648498535 34.099998474121094 101.1989974975586 vec4f([ 0.254501, -0.477865, 0.831126, 0.126903 ]) Problem
-2.690000057220459 3.763000011444092 -8.675000190734863 1.8056659698486328 0.6652219891548157 -0.07936999946832657 -0.010099999606609344 -0.06069999933242798 0.46720001101493835 34.099998474121094 101.1989974975586 vec4f([ -0.73881, 0.042362, 0.519872, 0.42673 ]) Problem
7.264999866485596 6.366000175476074 3.253000020980835 0.318462997674942 -0.5047420263290405 1.059744954109192 -0.3276999890804291 -0.19629999995231628 -0.26269999146461487 34.099998474121094 101.1989974975586 vec4f([ -0.322294, 0.132067, 0.852058, 0.390746 ]) Problem
1.7979999780654907 -2.2260000705718994 -9.647000312805176 0.03543800115585327 0.024942999705672264 -0.010824000462889671 -0.22519999742507935 0.08940000087022781 0.45179998874664307 34.099998474121094 101.1989974975586 vec4f([ -0.059662, 0.129592, 0.935067, 0.324494 ]) No problem
1.843000054359436 -1.9919999837875366 -9.473999977111816 -0.07930199801921844 0.0364300012588501 0.03007899969816208 -0.22300000488758087 0.09179999679327011 0.4580000042915344 34.099998474121094 101.19499969482422 vec4f([ -0.071585, 0.094279, 0.939437, 0.321629 ]) No problem
-2.9079999923706055 1.0269999504089355 -9.416999816894531 -0.006453000009059906 -0.007499000057578087 -0.017225999385118484 -0.038100000470876694 -0.000699999975040555 0.5511000156402588 34.099998474121094 101.19499969482422 vec4f([ 0.091999, -0.067996, 0.968884, 0.219491 ]) No problem
-1.9769999980926514 0.9359999895095825 -9.621999740600586 -0.011408000253140926 0.003860000055283308 0.005578999873250723 -0.03909999877214432 -0.002899999963119626 0.5509999990463257 34.099998474121094 101.21099853515625 vec4f([ 0.088686, -0.072427, 0.969505, 0.216676 ]) No problem
-1.7389999628067017 1.3619999885559082 -9.548999786376953 -0.0029879999347031116 -0.001386999967508018 -0.0020099999383091927 -0.05660000070929527 -0.016300000250339508 0.5504999756813049 33.900001525878906 101.20600128173828 vec4f([ 0.072359, -0.085138, 0.9714, 0.209518 ]) No problem
-1.7300000190734863 1.2999999523162842 -9.565999984741211 -0.0022060000337660313 -0.0056929998099803925 0.011335000395774841 -0.051100000739097595 -0.012900000438094139 0.5532000064849854 33.900001525878906 101.19400024414062 vec4f([ 0.073833, -0.080367, 0.971735, 0.209334 ]) No problem
-5.9019999504089355 -0.3499999940395355 7.705999851226807 13.45487117767334 1.013604998588562 0.6562889814376831 -0.23000000417232513 -0.3100000023841858 -0.23890000581741333 34.0 101.197998046875 vec4f([ -0.787093, 0.002379, 0.451934, 0.419802 ]) Problem
6.4770002365112305 2.1559998989105225 5.015999794006348 -0.39078399538993835 0.4060710072517395 0.22404100000858307 -0.32499998807907104 -0.3091999888420105 -0.026100000366568565 34.0 101.18199920654297 vec4f([ -0.572827, 0.407595, 0.463585, 0.539281 ]) Problem
3.4019999504089355 3.072000026702881 10.472000122070312 -1.9690760374069214 -4.568925857543945 3.5077950954437256 -0.38040000200271606 0.1606999933719635 0.23389999568462372 34.0 101.19400024414062 vec4f([ -0.288973, 0.255727, 0.82283, 0.417193 ]) Problem
2.1050000190734863 -1.3450000286102295 -10.628000259399414 -4.908624172210693 1.1313279867172241 0.5232340097427368 -0.22759999334812164 -0.40779998898506165 -0.1005999967455864 34.0 101.19400024414062 vec4f([ -0.48158, -0.648635, 0.531529, 0.254618 ]) Problem
5.414999961853027 -1.840000033378601 -6.355999946594238 -2.7886040210723877 -1.8710839748382568 0.14271800220012665 -0.32690000534057617 -0.00989999994635582 0.373199999332428 34.0 101.18199920654297 vec4f([ -0.185978, 0.145603, 0.784729, 0.573073 ]) Problem
5.420000076293945 5.307000160217285 -5.138999938964844 0.6982210278511047 1.4205689430236816 -0.17644299566745758 -0.3452000021934509 -0.2614000141620636 0.23260000348091125 34.0 101.19000244140625 vec4f([ 0.185962, 0.662241, 0.104223, 0.718326 ]) Problem
9.180999755859375 -5.59499979019165 -0.8679999709129333 -9.66717529296875 -1.8350839614868164 0.31525900959968567 -0.3260999917984009 -0.11299999803304672 0.3984000086784363 34.0 101.19400024414062 vec4f([ -0.203152, 0.014397, 0.679146, 0.705183 ]) Problem
4.466000080108643 6.8470001220703125 -9.708000183105469 -0.2319590002298355 6.18572998046875 2.4010589122772217 -0.3531999886035919 -0.11140000075101852 -0.2827000021934509 34.0 101.1780014038086 vec4f([ -0.600833, 0.574027, 0.423577, 0.360661 ]) Problem
